state,abbr
Alabama,AL
Alaska,AK
Arizona,AZ
Arkansas,AR
California,CA
Colorado,CO
Connecticut,CT
Delaware,DE
Diamond Princess  ,Diamond Princess  
District of Columbia,DC
Florida,FL
Georgia,GA
Grand Princess   ,Grand Princess   
Guam,Guam
Hawaii,HI
Idaho,ID
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KS
Kentucky,KY
Louisiana,LA
Maine,ME
Maryland,MD
Massachusetts,MA
Michigan,MI
Minnesota,MN
Mississippi,MS
Missouri,MO
Montana,MT
Nebraska,NE
Nevada,NV
New Hampshire,NH
New Jersey,NJ
New Mexico,NM
New York,NY
North Carolina,NC
North Dakota,ND
Ohio,OH
Oklahoma,OK
Oregon,OR
Pennsylvania,PA
Puerto Rico    ,Puerto Rico    
Rhode Island,RI
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
"Virgin Islands, U.S.","Virgin Islands, U.S."
Virginia,VA
Washington,WA
West Virginia,WV
Wisconsin,WI
Wyoming,WY
